Capture_Ch1_28072015_163028 Compressing video. Total time = 0:28:01, fps = 11.7; Frame 20000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:28:24, fps = 12.0; Frame 20500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:28:25, fps = 12.2; Frame 20500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:28:30, fps = 12.1; Frame 20500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:28:40, fps = 12.3; Frame 21000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:28:42, fps = 12.2; Frame 21000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:28:43, fps = 12.0; Frame 20500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:29:05, fps = 12.1; Frame 21000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:29:06, fps = 12.3; Frame 21000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:29:11, fps = 12.1; Frame 21000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:29:21, fps = 12.2; Frame 21500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:29:23, fps = 12.2; Frame 21500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:29:24, fps = 12.2; Frame 21000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:29:46, fps = 12.2; Frame 21500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:29:47, fps = 12.1; Frame 21500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:29:52, fps = 12.1; Frame 21500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:30:02, fps = 12.3; Frame 22000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:30:04, fps = 12.3; Frame 22000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:30:06, fps = 11.9; Frame 21500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:30:28, fps = 12.1; Frame 22000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:30:29, fps = 12.1; Frame 22000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:30:34, fps = 12.0; Frame 22000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:30:43, fps = 12.2; Frame 22500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:30:45, fps = 12.2; Frame 22500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:30:49, fps = 11.7; Frame 22000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:31:09, fps = 12.1; Frame 22500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:31:11, fps = 12.0; Frame 22500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:31:17, fps = 11.7; Frame 22500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:31:25, fps = 11.8; Frame 23000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:31:28, fps = 11.7; Frame 23000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:31:33, fps = 11.5; Frame 22500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:31:51, fps = 12.0; Frame 23000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:31:53, fps = 11.9; Frame 23000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:31:59, fps = 12.0; Frame 23000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:32:06, fps = 12.3; Frame 23500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:32:08, fps = 12.4; Frame 23500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:32:14, fps = 12.0; Frame 23000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:32:33, fps = 12.0; Frame 23500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:32:34, fps = 12.2; Frame 23500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:32:40, fps = 12.1; Frame 23500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:32:47, fps = 12.3; Frame 24000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:32:49, fps = 12.3; Frame 24000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:32:56, fps = 12.1; Frame 23500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:33:15, fps = 12.0; Frame 24000 
